"Date","USD_INR","Pound_INR","Euro_INR"
2015-03-19,62.49495,92.24348926,66.67524021
2015-03-20,62.324,93.1930817,67.43768595
2015-03-21,62.324,93.1930817,67.43768595
2015-03-22,62.324,93.12420941,67.46043269
2015-03-23,62.17295,92.95384649,68.06383804
2015-03-24,62.26345,92.36097955,67.88895301
2015-03-25,62.46045,92.92491069,68.4593904
2015-03-26,62.84395,93.35594576,68.41318154
2015-03-27,62.52945,93.00943607,68.09770017
2015-03-28,62.52945,93.00943607,68.09770017
2015-03-29,62.52945,93.06883489,68.06018099
2015-03-30,62.51795,92.58283547,67.71006741
2015-03-31,62.32,92.414338,66.9232703
2015-04-01,62.17645,92.23503344,66.9615499
2015-04-02,62.104,92.08936418,67.50673766
2015-04-03,61.92995,92.39963545,67.47395595
2015-04-04,61.92995,92.39963545,67.47395595
2015-04-05,61.93945,92.42141392,68.13463648
2015-04-06,62.19945,92.60565257,68.00825692
2015-04-07,62.31645,92.36108049,67.43823933
2015-04-08,62.19145,92.51786722,67.06912573
2015-04-09,62.32145,91.7134927,66.4789
2015-04-10,62.27195,91.1132053,65.92114263
2015-04-11,62.27195,91.1132053,65.92114263
2015-04-13,62.455,91.6059025,66.021193
2015-04-14,62.32145,92.05750711,66.35053288
2015-04-15,62.36045,92.46807677,66.60991644
2015-04-16,62.33745,93.03241189,67.04953823
2015-04-17,62.54845,93.47867589,67.58673105
2015-04-18,62.54845,93.47867589,67.58673105
2015-04-19,62.54845,93.61939292,67.61143455
2015-04-20,63.15345,94.16116287,67.89374826
2015-04-21,62.88545,93.89395131,67.5307985
2015-04-22,62.95845,94.67125138,67.51979001
2015-04-23,63.26,95.21421025,68.4137937
2015-04-24,63.77895,96.86114139,69.35963814
2015-04-25,63.77895,96.86114139,69.35963814
2015-04-26,63.77895,96.77595397,69.29902313
2015-04-27,63.22995,96.25559239,68.77206863
2015-04-28,63.05945,96.68275025,69.16055
2015-04-29,63.45345,97.87758154,70.51201201
2015-04-30,63.58,97.63251005,71.3005278
2015-05-01,63.72595,96.47153377,71.37626628
2015-05-02,63.72595,96.47153377,71.37626628
2015-05-03,63.72595,96.52570518,71.29022317
2015-05-04,63.60145,96.17747713,70.9086209
2015-05-05,63.35145,96.10193292,70.84592805
2015-05-06,63.66445,97.02462233,72.19739654
2015-05-07,64.09145,98.70083451,72.07275857
2015-05-08,63.71145,98.38641384,71.50020685
2015-05-09,63.71145,98.38641384,71.50020685
2015-05-10,63.70495,98.3400582,71.32087748
2015-05-11,64.02345,99.73573192,71.36053888
2015-05-12,64.217,100.6200122,72.04633679
2015-05-13,64.05345,100.79707159,72.69105887
2015-05-14,63.41645,100.01883995,72.30426736
2015-05-15,63.44245,99.75690909,72.26098605
2015-05-16,63.44245,99.75690909,72.26098605
2015-05-17,63.44245,99.84572852,72.60385712
2015-05-18,63.73545,99.82692358,72.17625459
2015-05-19,63.79145,98.95967714,71.10003666
2015-05-20,63.63045,98.88903714,70.62916342
2015-05-21,63.63245,99.6611447,70.70519712
2015-05-22,63.49445,98.35608749,69.92644389
2015-05-23,63.49445,98.35608749,69.92644389
2015-05-24,63.49445,98.24496304,69.78675055
2015-05-25,63.57845,98.35776996,69.74619566
2015-05-26,63.98145,98.52929728,69.652
2015-05-27,63.88345,98.05279143,69.62337912
2015-05-28,63.83045,97.78825091,69.95945004
2015-05-29,63.74745,97.49854156,69.54059673
2015-05-30,63.74745,97.49854156,69.54059673
2015-05-31,63.74745,97.45040865,69.84808172
2015-06-01,63.61945,96.67897966,69.47562151
2015-06-02,63.67145,97.65895222,70.98602641
2015-06-03,64.06445,98.20416505,72.14635696
2015-06-04,64.00145,98.30622766,71.72866526
